Company,Ticker,PE,EPS,ROE,DebtEquity,RevenueGrowth
Arvind SmartSpaces Limited,ARVSMART.NS,30.027514,19.99,0.13154,21.182,-0.471
Asahi India Glass Limited,ASAHIINDIA.NS,79.57634,12.51,0.100439996,77.144,-0.006
Asahi Songwon Colors Limited,ASAHISONG.NS,19.730322,13.72,0.04975,49.417,-0.146
Automotive Stampings and Assemblies Limited,ASAL.NS,49.67112,9.73,1.8990101,717.719,0.074
Associated Alcohols & Breweries Ltd.,ASALCBR.NS,21.548365,44.66,0.16563,12.748,-0.003
Ashapura Minechem Limited,ASHAPURMIN.NS,21.379599,41.86,0.32928002,86.445,0.577
Ashiana Housing Limited,ASHIANA.NS,40.239067,7.32,0.0924,44.275,2.047
Ashima Limited,ASHIMASYN.NS,,-0.55,-0.03534,58.263,-0.241
Ashoka Buildcon Limited,ASHOKA.NS,3.4615073,49.23,0.38044998,44.43,-0.256
Ashoka Metcast Limited,ASHOKAMET.NS,8.387979,1.83,0.03877,25.935,-0.636
Ashok Leyland Limited,ASHOKLEY.NS,31.530685,5.54,0.23669,327.886,0.128
Asian Energy Services Limited,ASIANENE.NS,39.11725,7.42,0.08415,23.826,0.044
Asian Hotels (North) Limited,ASIANHOTNR.NS,3.2710474,96.33,2.04882,338.495,-0.015
Asian Paints Limited,ASIANPAINT.NS,67.53135,40.67,0.20392,17.609,0.063
Asian Granito India Limited,ASIANTILES.NS,24.859936,3.07,0.03264,20.089,0.061
ASK Automotive Limited,ASKAUTOLTD.NS,35.421246,13.65,0.25908002,52.765,0.082
Bartronics India Limited,ASMS.NS,174.71428,0.07,0.07195,0.562,0.4
Aspinwall and Company Limited,ASPINWALL.NS,27.444971,8.45,0.03553,43.708,0.124
Astec LifeSciences Limited,ASTEC.NS,,-56.26,-0.32265,88.605,-0.252
Aster DM Healthcare Limited,ASTERDM.NS,94.923195,6.51,0.087139994,43.791,0.102
Astral Limited,ASTRAL.NS,73.19642,18.99,0.13975,6.769,0.151
Astra Microwave Products Limited,ASTRAMICRO.NS,57.679626,16.98,0.15033,23.894,-0.065
AstraZeneca Pharma India Limited,ASTRAZEN.NS,111.321465,79.76,0.26942,4.354,0.37
Astron Paper & Board Mill Limited,ASTRON.NS,,-10.61,-0.46506,94.276,-1.0
Atal Realtech Limited,ATALREAL.NS,181.42857,0.14,0.0478,23.862,-0.306
Atam Valves Limited,ATAM.NS,15.810176,5.11,0.16608,33.533,-0.326
Adani Total Gas Limited,ATGL.NS,99.78984,5.71,0.14863,44.513,0.191
Ather Energy Limited,ATHERENERG.NS,,-23.1,,15.813,0.541
Allcargo Terminals Limited,ATL.NS,24.052631,1.14,0.10318,208.703,0.063
ATLANTAA LIMITED,ATLANTAA.NS,41.163464,1.04,0.04496,152.042,-0.098
Atlanta Electricals Limited,ATLANTAELE.NS,66.65131,14.11,,46.263,0.173
Atlas Cycles (Haryana) Limited,ATLASCYCLE.NS,,-4.18,-0.0070599997,2.346,-0.472
Atul Limited,ATUL.NS,32.85978,184.07,0.09648,3.14,0.114
Atul Auto Limited,ATULAUTO.NS,44.83094,9.76,0.05246,31.784,0.102
AU Small Finance Bank Limited,AUBANK.NS,33.480427,29.12,0.12654,,0.061
Auri Grow India Limited,AURIGROW.NS,11.0,0.08,0.05131,14.284,-0.904
Aurionpro Solutions Limited,AURIONPRO.NS,29.807848,36.95,0.1367,1.841,0.285
Aurobindo Pharma Limited,AUROPHARMA.NS,20.489214,58.87,0.10379,22.248,0.063
Aurum PropTech Limited,AURUM.NS,,-5.13,-0.09308,57.165,0.29
Ausom Enterprise Limited,AUSOMENT.NS,5.481863,20.4,0.19156,0.078,214.064
Automotive Axles Limited,AUTOAXLES.NS,17.423325,104.01,0.16517,1.472,-0.067
Autoline Industries Limited,AUTOIND.NS,29.90262,2.67,0.05782,153.954,0.108
Avadh Sugar & Energy Limited,AVADHSUGAR.NS,11.684028,31.68,0.059720002,56.04,0.057
Avalon Technologies Limited,AVALON.NS,67.70611,13.1,0.14425999,25.091,0.391
Avantel Limited,AVANTEL.NS,84.62963,1.89,0.12936,9.483,-0.284
Avanti Feeds Limited,AVANTIFEED.NS,18.40709,45.42,0.20798999,0.441,0.188
AVG Logistics Limited,AVG.NS,12.852224,13.94,0.088149995,109.016,0.033
Aditya Vision Limited,AVL.NS,60.905277,8.34,0.183,64.573,0.217
Avonmore Capital & Management Services Limited,AVONMORE.NS,37.938774,0.49,0.0512,5.155,-0.318
AVRO INDIA LIMITED,AVROIND.NS,40.87197,2.89,0.06489,26.816,0.158
AVT Natural Products Limited,AVTNPL.NS,16.508684,4.03,0.122959994,19.139,0.316
Awfis Space Solutions Limited,AWFIS.NS,66.98087,7.32,0.113450006,290.895,0.255
Antony Waste Handling Cell Limited,AWHCL.NS,16.593496,30.75,0.12913999,54.786,0.165
AWL Agri Business Limited,AWL.NS,28.343302,8.36,0.115059994,11.063,0.217
Axis Bank Limited,AXISBANK.NS,14.70722,83.51,0.14004,,-0.06
AXISCADES Technologies Limited,AXISCADES.NS,63.819412,20.71,0.13741,37.084,0.131
Axita Cotton Limited,AXITA.NS,,-0.04,-0.025929999,34.066,-0.513
AYM Syntex Limited,AYMSYNTEX.NS,707.1739,0.23,0.00294,41.435,-0.135
Azad Engineering Limited,AZAD.NS,92.030205,17.88,0.10235,21.146,0.306
Bafna Pharmaceuticals Limited,BAFNAPH.NS,43.962364,3.72,0.100839995,35.519,-0.12
B.A.G Films and Media Limited,BAGFILMS.NS,22.357143,0.28,0.04837,60.33,0.037
Baid Finserv Limited,BAIDFIN.NS,8.292857,1.4,0.09369001,142.612,0.361
Bajaj Auto Limited,BAJAJ-AUTO.NS,30.414724,298.03,0.25572002,57.257,0.195
Bajaj Consumer Care Limited,BAJAJCON.NS,26.263792,9.97,0.20405,2.789,0.134
Bajaj Electricals Limited,BAJAJELEC.NS,51.49413,9.37,0.06498,84.783,-0.01
Bajaj Finserv Limited,BAJAJFINSV.NS,33.710945,59.85,0.15100999,237.537,0.111
Bajaj Healthcare Limited,BAJAJHCARE.NS,26.217228,16.02,0.109799996,48.929,0.111
Bajaj Housing Finance Limited,BAJAJHFL.NS,33.61484,2.83,0.118149996,443.872,0.169
Bajaj Hindusthan Sugar Limited,BAJAJHIND.NS,,-1.3,-0.04,87.126,-0.002
Bajaj Holdings & Investment Limited,BAJAJHLDNG.NS,14.5725565,765.48,0.11792,0.019,0.4
Indef Manufacturing Limited,BAJAJINDEF.NS,39.15656,9.07,,1.565,0.219
Bajel Projects Limited,BAJEL.NS,159.92793,1.11,0.019919999,15.984,-0.073
Bajaj Finance Limited,BAJFINANCE.NS,33.967392,29.44,0.1909,310.294,0.206
Shree Tirupati Balajee Agro Trading Company Limited,BALAJEE.NS,18.196507,2.29,0.06781,63.12,-0.083
Balaji Telefilms Limited,BALAJITELE.NS,16.022923,6.98,0.13135,3.918,-0.662
Balaji Amines Limited,BALAMINES.NS,24.945593,45.03,0.07259,1.53,-0.018
BALAXI PHARMACEUTICALS LIMITED,BALAXI.NS,10.839695,2.62,-0.01242,9.636,-0.258
Balkrishna Paper Mills Limited,BALKRISHNA.NS,,-1.7,,,
Balkrishna Industries Limited,BALKRISIND.NS,32.174522,71.28,0.13908,35.269,-0.011
Balmer Lawrie & Company Limited,BALMLAWRIE.NS,11.894194,15.5,0.13673,12.098,-0.005
Bal Pharma Limited,BALPHARMA.NS,16.752914,4.29,0.093310006,197.725,0.004
Balrampur Chini Mills Limited,BALRAMCHIN.NS,21.940971,19.99,0.10847,19.761,0.287
Balu Forge Industries Limited,BALUFORGE.NS,28.664946,21.31,0.22686,,
Banaras Beads Limited,BANARBEADS.NS,47.38007,2.71,0.03206,27.474,-0.563
Bannari Amman Sugars Limited,BANARISUG.NS,37.12815,97.15,0.06864,1.035,0.207
Banco Products (I) Limited,BANCOINDIA.NS,43.87794,15.73,0.29768,44.582,0.16
Bandhan Bank Limited,BANDHANBNK.NS,19.013124,7.62,0.05056,,-0.325
Bang Overseas Limited,BANG.NS,12.184343,3.96,0.061329998,35.295,0.199
Banka BioLoo Limited,BANKA.NS,,-3.82,-0.12828,105.547,0.048
